Source: https://docs.google.com/spreadsheets/d/19QO5Gnqut6j5zQ4eIE9jZeAWdUlx7xX31-D8dC_v0WI/export?format=csv&gid=1424949565

---

N° artículo (tango),Nombre insumo,Fórmula,Peso Neto,Fecha actualización,Cantidad a elaborar,,,,,Nombre insumo,Cantidad,Unidad
,,,,,,,,,,MORRONES,1.638,Kg
0-2030002,BERENJENA E/ESCABECHE X 360 GR,,,14/10/2025,"8036,00",,,,,FRASCOS ESTRELLA 750,0,Unidades
10020000,BERENJENAS,"0,330",,,2652,,,,,TAPAS ESTRELLA 82MM,0,Unidades
10020019,AJO PRODUCCION,"0,004",,,32,,,,,POROTO COLORADO,0,Lt
10050006,PIMIENTA,"0,006",,,48,,,,,POROTO NEGRO,0,Kg
10050004,ACEITE PRODUCCION,"0,150",,,1205,,,,,POROTOS PALLARES,111,Kg
10050003,SAL,"0,030",,,241,,,,,GARBANZO,0,Kg
10050000,VINAGRE,"0,150",,,1205,,,,,LENTEJAS,0,Kg
10050013,AJI MOLIDO,"0,012",,,96,,,,,ZANAHORIA,118,Kg
10050017,PEREJIL,"0,015",,,121,,,,,CEBOLLA PRODUCCION,118,Kg
,Agua,"0,600",,,4822,,,,,ACIDO CITRICO,1,Kg
10060000,FRASCOS AMANECER 450,"1,000",,,8036,,,,,BERENJENAS,2.652,Kg
10060012,TAPAS AMANECER/MORRONERO,"1,000",,,8036,,,,,AJO PRODUCCION,32,Kg
,,,,,,,,,,PIMIENTA,55,Kg
0-2030004,LENTEJAS E/ESCABECHE X 330 GR,,,,,,,,,ACEITE PRODUCCION,1.415,Lt
10020008,LENTEJAS,"0,058",,,0,,,,,SAL,254,Kg
10050004,ACEITE PRODUCCION,"0,030",,,0,,,,,VINAGRE,1.454,Kg
10050000,VINAGRE,"0,030",,,0,,,,,AJI MOLIDO,96,Kg
10050003,SAL,"0,004",,,0,,,,,PEREJIL,121,Kg
10050006,PIMIENTA,"0,002",,,0,,,,,Agua,4.822,Lt
10020007,ZANAHORIA,"0,078",,,0,,,,,FRASCOS AMANECER 450,13.318,Unidades
10020001,CEBOLLA PRODUCCION,"0,078",,,0,,,,,TAPAS AMANECER/MORRONERO,13.318,Unidades
10040000,ACIDO CITRICO,"0,001",,,0,,,,,,,
10060000,FRASCOS AMANECER 450,"1,000",,,0,,,,,,,
10060012,TAPAS AMANECER/MORRONERO,"1,000",,,0,,,,,,,
,,,,,,,,,,,,
