Source: https://docs.google.com/spreadsheets/d/1xRI331CIEk2-UnM8R6QwmOXSpm8xytsRbCy6fvgHzZ0/export?format=csv&gid=0

---

Nombre insumo,Insumos totales necesarios,Unidades, Valor estimado (x última compra),$ valor estimado,Producción estimada campo,Stock actual insumos,Insumos a comprar,$ valor estimado,,,,
ACEITE DE GIRASOL,6.282,Lt, $ 3.509 ,$22.043.290,,730,5.552,$19.481.720,,,,
ACEITE DE OLIVA BLEND,204,Lt,,$0,,,,$0,,,,
ACIDO CITRICO,107,Kg, $ 3.252 ,$349.365,,35,73,$236.593,,,,
AGAR AGAR,72,Kg,,$0,,10,62,$0,,,,
Agua,14.759,Lt,,$0,,,,$0,,,,
AJI MOLIDO,313,Kg, $ 9.696 ,$3.034.832,,8,305,$2.959.593,,,,
AJIES,121,Kg, $ 2.750 ,$333.366,,35,86,$236.401,,,,
AJO PRODUCCION,227,Kg, $ 7.358 ,$1.669.995,,22,205,$1.506.651,,,,
ARANDANOS,1.114,Kg, $ 8.404 ,$9.360.289,,80,1.033,$8.684.247,,,,
AZUCAR,23.520,Kg, $ 724 ,$17.025.299,,600,22.920,$16.590.989,,,,
BATATA,0,Kg,,$0,,,,$0,,,,
BERENJENAS,9.997,Kg, $ 1.200 ,$11.996.424,,,,$0,,,,
BIDON DE PLASTICO DE 3 LTS,0,Unidades,,$0,,,,$0,,,,
BIDON DE PLASTICO DE 5 LTS,53,Unidades, $ 987 ,$52.528,,,,$0,,,,
BOTELLAS ACEITE X 250 ML,3.028,Unidades,,$0,,,,$0,,,,
BOTELLAS TOMATE x 1 Lt,13.580,Unidades, $ 526 ,$7.143.440,,8.799,4.781,$2.514.933,,,,
BOTELLAS TOMATE x 500 mL,11.913,Unidades, $ 256 ,$3.051.610,,1.906,10.007,$2.563.373,,,,
BROCOLI,1.352,Kg, $ 2.462 ,$3.328.295,,109,0,$0,,,,
CARAMELO LIQUIDO,450,Kg,,$0,,0,450,$0,,,,
