Source: https://docs.google.com/spreadsheets/d/1QHWpmZLaRWAaWedIlWY1iroPnPe4IOnzAJRiyg5Gw0k/export?format=csv&gid=0

---

Mes,SEMANA,Fecha de armado,TURNO,Tipo de producto,Código Artículo,Artículo,Cantidad,Estado,Fecha de carga en sistema,Depósito,liberados (A3),Reesterilizado,Merma,TOTAL,Estado2
NOVIEMBRE,44,1/11/2024,,TARTAS Y TORTILLAS,0-7020000,TARTA CALABAZA,3,Cargado en sistema,5/11/2024,,PRUEBA,,,,Cargado en sistema
NOVIEMBRE,44,1/11/2024,,TARTAS Y TORTILLAS,0-7020001,TARTA ACELGA,3,Cargado en sistema,5/11/2024,,PRUEBA,,,,Cargado en sistema
NOVIEMBRE,44,1/11/2024,,TARTAS Y TORTILLAS,0-7020002,TARTA VERDURAS,3,Cargado en sistema,5/11/2024,,PRUEBA,,,,Cargado en sistema
NOVIEMBRE,44,1/11/2024,,TARTAS Y TORTILLAS,0-7020003,TARTA CAPRESE,3,Cargado en sistema,5/11/2024,,PRUEBA,,,,Cargado en sistema
NOVIEMBRE,44,1/11/2024,,TARTAS Y TORTILLAS,0-7020005,TARTA JAMÓN Y QUESO,3,Cargado en sistema,5/11/2024,,PRUEBA,,,,Cargado en sistema
NOVIEMBRE,44,1/11/2024,,TARTAS Y TORTILLAS,0-7020006,TARTA CEBOLLA CARAMELIZADA,3,Cargado en sistema,5/11/2024,,PRUEBA,,,,Cargado en sistema
NOVIEMBRE,45,4/11/2024,,TARTAS Y TORTILLAS,0-7020000,TARTA CALABAZA,12,Cargado en sistema,4/11/2024,,A3,,,,Cargado en sistema
NOVIEMBRE,45,4/11/2024,,TARTAS Y TORTILLAS,0-7020001,TARTA ACELGA,13,Cargado en sistema,4/11/2024,,A3,,,,Cargado en sistema
NOVIEMBRE,45,4/11/2024,,TARTAS Y TORTILLAS,0-7020006,TARTA CEBOLLA CARAMELIZADA,12,Cargado en sistema,4/11/2024,,A3,,,,Cargado en sistema
NOVIEMBRE,45,4/11/2024,,TARTAS Y TORTILLAS,0-7010000,TORTILLA PAPA Y CEB X 600 GR,72,Cargado en sistema,5/11/2024,,A3,,,,Cargado en sistema
