Source: https://docs.google.com/spreadsheets/d/10ym38nAt6UfymKKZpemMyUmkSki4grXnesZznxNHhLg/export?format=csv&gid=0

---

Fecha del Registro,Fecha del Turno,Turno,Encargado,Tipo de Registro,E/S,Categoría,Producto / Insumo,Código Artículo,Cantidad,Motivo / Detalle / Comentarios,Estado
7/5/2026 8:30:47,6/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TORTILLA PAPA Y CEB X 600 GR,07010000,60,,Cargado en sistema
7/5/2026 7:40:22,6/5/2026,Tarde,Raúl,PRODUCCIÓN,E,CONSERVAS,BERENJENA E/ESCAB X 360 GR,02030002,96,,Cargado en sistema
7/5/2026 7:40:22,6/5/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,CONSERVAS,MORRONES E/ESCAB X 450 GR,02030005,127,Faltaba liquido,Cargado en sistema
7/5/2026 7:40:22,6/5/2026,Tarde,Raúl,DECOMISO,S,ENVASES,TAPAS AMANECER/MORRONERO,10060012,127, Reproceso,Cargado en sistema
7/5/2026 7:40:22,6/5/2026,Tarde,Raúl,RECUPERO,E,OTRO,Frascos amanecer,,127,Se lavaron y esterilizaron,Cargado en sistema
7/5/2026 6:17:07,6/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA JAMÓN Y QUESO,07020005,100,,Cargado en sistema
7/5/2026 6:17:07,6/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA ACELGA INTEGRAL,07020008,30,,Cargado en sistema
7/5/2026 6:17:07,6/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CEBOLLA CARAMELIZADA INTEGRAL,07020012,38,,Cargado en sistema
7/5/2026 6:17:07,6/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CEBOLLA CARAMELIZADA,07020006,26,,Cargado en sistema
7/5/2026 6:17:07,6/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA ACELGA,07020001,30,,Cargado en sistema
7/5/2026 6:17:07,6/5/2026,Mañana,Any,COMENTARIOS,-,-,-,-,-,"Se limpiaron 70 moldes ,empezamos con la limpieza de ollas",Cargado en sistema
